TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-11-11 00:54:16.918,1.002622232194605,0,0,1.245771984133443,0.3356174731439368,0,0,0.6873636672975907,0.7577378253032714,0,0,1.222467349720885,0.5288612923286546,0,0,0.7118477252939286,0.2545852694760869,0,0,0.6511898828067726,782.893772893773,767.985347985348,1100.805860805861,799.4139194139194,732.9304029304029,0.351685,0.221802,0.921021,4.082336,-3.775787,-1.233673,1,1,4,4,1,45.000000
2021-11-11 00:54:17.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:54:17.920,0.9603651830155163,0,0,1.693575024063878,0.4018392445859056,0,0,1.095336044418659,0.7106999754337194,0,0,1.150705924204385,0.5966114082048251,0,0,0.8728577106625112,0.3453643986436272,0,0,0.9615637186489224,790.5494505494506,887.6556776556777,1648.791208791209,809.4871794871796,734.1391941391942,0.368958,0.222290,0.910156,3.529053,-6.714172,-2.497253,1,1,4,4,1,45.000000
2021-11-11 00:54:18.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:54:18.929,1.431548988525734,0,0,1.135444378101638,0.7155476185433034,0,0,0.8618365981860389,0.8431492624901915,0,0,0.732338450648139,0.5623667561258296,0,0,0.6832353093904022,0.5766789769133291,0,0,0.7461954680731635,755.4945054945055,0,0,732.1245421245421,565.7142857142858,0.354065,0.119934,0.938538,2.071075,-7.626343,-8.695526,1,1,4,4,1,45.000000
2021-11-11 00:54:19.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:54:19.918,1.431548988525734,0,0,1.089358691100029,0.7155476185433034,0,0,0.7898514956876317,0.8431492624901915,0,0,0.7068513260395227,0.5623667561258296,0,0,0.5746752067163744,0.5766789769133291,0,0,0.7724302768148604,669.2673992673992,1624.212454212454,1623.809523809524,623.3333333333334,807.8754578754579,0.424683,0.121155,0.917664,5.413208,-6.280518,-2.175751,1,1,4,4,1,45.000000
2021-11-11 00:54:20.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:54:20.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:54:20.917,1.431548988525734,0,0,1.089358691100029,0.7155476185433034,0,0,0.7898514956876317,0.8431492624901915,0,0,0.7068513260395227,0.5623667561258296,0,0,0.5746752067163744,0.5766789769133291,0,0,0.7724302768148604,986.7765567765568,1623.809523809524,1623.809523809524,875.9706959706959,763.956043956044,0.424744,0.124695,0.912659,6.759033,-4.650574,4.590759,1,4,4,4,4,45.000000
2021-11-11 00:54:21.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:54:21.830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:54:21.918,1.431548988525734,0,0,1.089358691100029,0.7155476185433034,0,0,0.7898514956876317,0.8431492624901915,0,0,0.7068513260395227,0.5623667561258296,0,0,0.5746752067163744,0.5766789769133291,0,0,0.7724302768148604,1623.406593406593,1627.032967032967,1623.809523809524,915.0549450549451,895.3113553113553,0.335022,0.131165,0.943542,4.553375,-4.059906,-4.216919,1,4,4,4,2,45.000000
2021-11-11 00:54:22.917,1.431548988525734,0,0,1.089358691100029,0.7155476185433034,0,0,0.7898514956876317,0.8431492624901915,0,0,0.7068513260395227,0.5623667561258296,0,0,0.5746752067163744,0.5766789769133291,0,0,0.7724302768148604,999.6703296703297,1168.901098901099,1616.959706959707,909.0109890109891,940.8424908424909,0.316467,0.177002,0.940796,12.404022,19.050903,2.190704,1,2,2,4,2,45.000000
2021-11-11 00:54:23.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:54:23.917,1.431548988525734,0,0,1.642346696980834,0.7155476185433034,0,0,0.9035655982808346,0.8431492624901915,0,0,0.5802123736868188,0.5623667561258296,0,0,0.7975078658567318,0.5766789769133291,0,0,0.5039650896238266,862.6739926739926,431.1355311355312,1139.487179487179,663.6263736263736,739.3772893772893,0.155212,0.192017,0.965942,2.205658,-2.773895,-5.278625,1,1,4,4,1,45.000000
2021-11-11 00:54:24.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:54:24.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:54:24.917,1.431548988525734,0,0,1.61640446462749,0.7155476185433034,0,0,0.7904267943039258,0.8431492624901915,0,0,0.557563772632433,0.5623667561258296,0,0,0.8212743171217435,0.5766789769133291,0,0,0.5002011794711009,0,1624.212454212454,1623.809523809524,0,620.5128205128206,0.205994,0.207275,0.966309,4.082336,-0.979462,0.134583,1,4,4,4,4,45.000000
2021-11-11 00:54:24.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:54:25.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
