TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-11-01 17:46:35.724,1.349155164482218,0.228907314728963,0.1795612028517364,1.815344412760421,1.019994799132742,0.08546139140507349,-0.1180782308551314,1.081207354108114,1.22702469888565,0.01820876508539513,0.4578370739533221,1.371210630070167,0.8803445033557198,-0.2291857174524633,0.08774294387261201,0.8906519393828547,0.4022689420672728,-0.5216852504765568,-0.416394482308301,0.2042671535049251,816.3369963369963,752.2710622710623,772.4175824175825,813.1135531135532,688.2051282051282,-0.108887,0.109436,1.001465,4.837494,-4.456177,-1.607513,1,1,1,1,1,75.000000
2021-11-01 17:46:36.726,1.470009128124703,0.6012814919058348,0.3236619638560906,1.85079997393461,0.8701146702971281,0.1545337654115225,0.0635838926972358,0.9824431352609344,1.038304916568792,0.2247775591750608,0.4456660428522262,1.186660075501666,0.7926648657754368,-0.1135157650097515,-0.03296663490410268,0.9073486587309901,0.2511087230358534,-0.350308545923453,-0.3150570072575099,0.1188658367527967,834.8717948717949,757.1062271062272,779.6703296703297,852.1978021978023,684.5787545787546,-0.111389,0.110779,0.997009,4.889832,-5.181427,-1.158905,1,1,1,1,1,75.000000
2021-11-01 17:46:37.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-01 17:46:37.717,1.50830836944516,1.738231131833355,0.7466932952446557,1.583955903041167,0.5725002494934783,0.5455146614826818,0.1046412942884055,0.7901440492751383,0.8546809325213331,0.4972734996935723,0.3617066927210891,1.090952362840947,0.7816367536735837,0.02251054164323141,-0.0002924635955180779,0.9933122680007298,0.1943364849088466,-0.2798165588947454,-0.2041914819260116,0.02519143200281,859.4505494505495,758.7179487179487,776.8498168498169,844.9450549450549,852.1978021978023,-0.118652,0.118713,0.996765,4.628143,-3.297272,-1.936493,1,1,1,1,1,75.000000
2021-11-01 17:46:38.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-01 17:46:38.724,1.511704693863342,1.894593933570889,1.003804663498388,1.583955903041167,0.6072207670762529,0.7965653110921396,0.1340903273763739,0.7901440492751383,0.8068054718475089,0.9855991075402721,0.3021623405217815,1.090952362840947,0.7716409583808437,0.3486720130607734,0.1224155524343947,0.9933122680007298,0.2587060486088603,-0.1071515728182796,-0.1828319879784125,0.02519143200281,850.5860805860806,804.2490842490843,768.3882783882784,852.1978021978023,638.6446886446887,-0.131104,0.113831,0.999023,5.188904,-5.360870,-1.779480,1,1,1,1,1,75.000000
2021-11-01 17:46:39.717,1.511704693863342,1.572648850569113,1.224140627532454,1.059265132130971,0.6072207670762529,1.064308560344497,0.5600339225730717,0.6144398286288233,0.8068054718475089,1.000885139781953,0.627943097691237,0.7897271109674006,0.7716409583808437,0.5041065710126343,0.1051204844747071,0.7469808066141341,0.2587060486088603,-0.2754846294127303,-0.4770588170616007,0.3389669692219131,827.6190476190476,661.6117216117216,815.5311355311355,862.2710622710623,764.3589743589744,-0.110779,0.088623,1.002869,1.899109,-6.916046,-0.142059,1,1,1,1,1,75.000000
2021-11-01 17:46:39.898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-01 17:46:40.717,1.511704693863342,1.428543384642953,0.9014229930948474,1.059265132130971,0.6072207670762529,0.9605773566235928,0.3556014492780943,0.6144398286288233,0.8068054718475089,0.7745880727512929,0.3689407575485124,0.7897271109674006,0.7716409583808437,0.1948149570854796,-0.03647986557548494,0.7469808066141341,0.2587060486088603,-0.6623165967501019,-0.5937857780207266,0.3389669692219131,826.007326007326,757.9120879120879,786.9230769230769,853.4065934065934,796.1904761904763,-0.121521,0.100220,0.997192,3.805695,-3.237457,-3.372040,1,1,1,1,1,75.000000
2021-11-01 17:46:41.727,0.253726958225976,0.5453367953085095,0.7007090926935904,1.339321301078081,0.4810072282878139,0.07530624814814062,0.07138228900367627,0.4078532057241971,0.7166755063359407,-0.01989245120873113,0.3520603212945088,0.7013972723628932,0.6207985071182156,-0.02604607354512553,0.1449988549214155,0.7550746425416663,0.2295257088105349,-0.5435480950124795,-0.576694064145429,0.2214181868346243,815.934065934066,767.1794871794872,778.4615384615385,835.6776556776557,644.2857142857143,-0.122986,0.103455,0.990906,5.592651,-5.772095,-1.510315,1,1,1,1,1,75.000000
2021-11-01 17:46:42.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-01 17:46:42.725,1.155195547053926,0.3544738864756627,0.6703491732470254,1.426428255281948,0.8645291738806421,-0.1772850740650792,0.1322970187380939,0.4667685226351502,1.156317590628502,0.1650668691150056,0.2243832821619492,0.7341663646947516,0.6923240560746492,0.0669078385312229,0.0823969772742911,0.7769325106510829,0.3843948683845922,-0.3569410295055028,-0.4438034419353612,0.3641977277092925,885.2380952380953,763.5531135531136,747.4358974358975,893.2967032967033,825.2014652014652,-0.140381,0.116028,0.992920,3.730927,-5.630035,-2.534637,1,1,1,1,1,75.000000
2021-11-01 17:46:43.717,1.584044035247106,0.4862498316338552,0.2847110005335894,1.513698910250066,1.142663273078351,-0.2545914012425425,0.0126296940215013,0.5874970712119867,1.156317590628502,0.1735374133265204,-0.07779422116029365,0.694044529975516,0.7221660110767023,-0.08669942347811989,-0.08911781947592463,0.7419973000577781,0.5009398832524797,-0.1774920492031536,-0.2074992814119216,0.2931049453696412,804.6520146520147,761.5384615384615,840.5128205128206,817.5457875457876,694.6520146520147,-0.142090,0.115784,0.999146,4.478607,-2.474823,-0.433655,1,1,1,1,1,75.000000
2021-11-01 17:46:44.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-01 17:46:44.723,1.584044035247106,0.6365720302684076,1.52421846801117,1.513698910250066,1.142663273078351,0.1153678847771502,0.4582637582081626,0.5874970712119867,1.156317590628502,0.2763771582378391,0.2373251575432609,0.694044529975516,0.7221660110767023,0.297611441345396,0.07735094377956259,0.7419973000577781,0.5009398832524797,-0.02171784729203385,0.2002238028360405,0.2931049453696412,878.7912087912089,769.5970695970697,803.040293040293,819.5604395604396,1450.952380952381,-0.269592,0.088013,0.978149,9.592743,-7.559052,-16.830292,1,1,1,1,1,75.000000
2021-11-01 17:46:45.717,1.584044035247106,0.8659706646826553,1.772785939522805,1.513698910250066,1.142663273078351,0.2976432386629502,0.7836475682977337,0.5874970712119867,1.156317590628502,0.1802443763387453,0.5311414856991269,0.694044529975516,0.7221660110767023,0.4720746403093452,0.1911450745249939,0.7419973000577781,0.5009398832524797,0.08485991571085527,0.09139644609132971,0.2931049453696412,896.5201465201466,862.2710622710623,779.2673992673992,744.6153846153846,1210,-0.214478,0.131653,0.997437,8.187103,-3.835602,-5.555267,1,2,1,1,2,75.000000
2021-11-01 17:46:46.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-01 17:46:46.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-01 17:46:46.717,1.584044035247106,0.8659706646826553,1.828087173842402,1.513698910250066,1.142663273078351,0.2976432386629502,1.153414923484794,0.5874970712119867,1.156317590628502,0.1802443763387453,0.6444188000488591,0.694044529975516,0.7221660110767023,0.4720746403093452,0.3944959059854723,0.7419973000577781,0.5009398832524797,0.08485991571085527,0.02806278140824519,0.2931049453696412,939.6336996336996,767.1794871794872,765.1648351648352,645.0915750915751,884.8351648351648,-0.105408,0.133606,1.002319,1.629944,-3.925323,6.534729,1,2,4,1,2,75.000000
2021-11-01 17:46:46.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-01 17:46:47.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
